Date,AAR,BT,Bus,LIRR,MNR,SIR,Subway
09/19/2024,38515,997635,1547727,272725,226944,8367,4255184
09/20/2024,36687,1019966,1471585,270065,215673,7029,3933048
09/21/2024,23611,980137,950423,160150,133469,3736,2744632
09/22/2024,23164,936446,737715,131192,102752,2560,2131910
09/23/2024,34543,922758,1457916,250701,218237,7994,3898806
09/24/2024,37488,927777,1500066,270524,240779,8938,4323708
09/25/2024,37829,935215,1487149,267471,236202,8904,4335945
09/26/2024,37117,963068,1467648,264141,228971,8216,4295723
09/27/2024,35968,1010505,1438524,258258,221034,6992,3945383
09/28/2024,22142,922085,863284,134408,132177,2928,2557982
09/29/2024,22340,869345,664367,117572,102805,2782,1959363
09/30/2024,34701,924795,1486507,256547,217897,7845,3849138
10/01/2024,38299,922245,1546620,247737,218836,9716,4179363
10/02/2024,38330,941325,1504660,258854,227124,9543,4068073
10/03/2024,35952,926733,1333760,246586,217197,7273,3627528
10/04/2024,35371,947077,1313232,251723,215328,6361,3506654
10/05/2024,23775,966857,953356,142657,148928,4086,2710146
10/06/2024,23677,912831,737760,111257,105906,2534,2065294
10/07/2024,35754,917137,1478576,250063,220335,8833,3847055
10/08/2024,39100,945208,1554839,275934,235974,10259,4256950
10/09/2024,39877,957877,1555422,275026,234694,9926,4313211
10/10/2024,38911,990350,1534201,272428,233710,9495,4329161
10/11/2024,37027,1021735,1435476,257460,224122,7977,3868564
10/12/2024,23525,957916,940999,149093,144234,3409,2587128
10/13/2024,23354,911708,744866,127619,120235,3574,2153429
10/14/2024,26827,911104,1076828,240501,225263,5124,3066851
10/15/2024,38788,955621,1487706,270652,249266,9369,4284818
10/16/2024,39579,950912,1495298,279608,236091,9783,4357117
10/17/2024,37093,942095,1496057,277906,237000,9362,4309633
10/18/2024,36732,993477,1443165,272133,229999,8258,4030998
10/19/2024,24053,981152,930951,156212,147214,3588,2752350
10/20/2024,24069,939223,733271,127452,122789,2606,2176476
10/21/2024,35133,937487,1471964,247857,219983,8975,3842315
10/22/2024,38656,932275,1528809,268294,237771,9628,4218881
10/23/2024,39211,930104,1537563,257031,233881,9629,4276606
10/24/2024,36754,931734,1484054,260193,232459,9653,4304831
10/25/2024,36635,983885,1376080,262815,223941,8083,4019790
10/26/2024,24066,988039,960099,143111,148103,3423,2828539
10/27/2024,23888,918610,740417,120849,115917,2556,2208683
10/28/2024,35666,926409,1473020,253923,229873,8936,3983168
10/29/2024,38621,939734,1514830,272526,249585,9803,4378791
10/30/2024,40468,970092,1533630,267007,246035,9878,4417951
10/31/2024,37639,952775,1423507,257756,221856,8741,4340272
11/01/2024,37306,947020,1290003,213535,185052,6363,3780874
11/02/2024,24481,941777,924453,138761,134522,3273,2817106
11/03/2024,21758,796346,647668,132720,123028,4095,2602870
11/04/2024,36716,908080,1450761,243884,216014,7765,3949699
11/05/2024,36106,858375,1321929,244078,213516,6691,3640246
11/06/2024,40044,928979,1490566,256311,221461,8324,4113411
11/07/2024,39248,958652,1499670,259228,226007,8177,4232190
11/08/2024,38062,990743,1428851,245087,213611,7038,3971878
11/09/2024,24198,924905,920210,133329,134651,3270,2770474
11/10/2024,23972,870080,713083,105256,103048,2321,2117144
11/11/2024,28032,864822,1173328,236005,206579,5534,3277617
11/12/2024,39828,921273,1487306,264372,234752,8595,4263199
11/13/2024,41143,932923,1496105,257349,229455,8342,4331024
11/14/2024,40039,959032,1476496,251765,217969,8022,4296568
11/15/2024,39068,985910,1386340,247886,214139,6829,3986526
11/16/2024,24556,916594,919983,137240,132742,3013,2789132
11/17/2024,24320,841590,719084,118405,101707,2403,2101806
11/18/2024,36682,861708,1442803,246602,214015,7739,3900958
11/19/2024,39803,923969,1504152,260621,235198,8396,4277932
11/20/2024,41321,952410,1508975,261795,232558,8694,4298945
11/21/2024,38930,925692,1352576,247779,217248,7755,4217744
11/22/2024,37694,961674,1304306,240803,205229,6493,3854860
11/23/2024,23654,923692,903100,144950,134514,3057,2720244
11/24/2024,24470,845856,712523,115037,104157,2333,2075015
11/25/2024,37257,924623,1440435,259180,221649,8190,3914213
11/26/2024,39718,979030,1412275,263231,233673,8100,4030009
11/27/2024,35540,1005916,1370366,284694,243529,7495,3710430
11/28/2024,26674,868551,462819,115895,103402,2095,1513447
11/29/2024,19887,829240,910730,243219,219251,4139,2677499
11/30/2024,19542,891736,787685,148820,135368,2916,2319981
12/01/2024,22046,893570,629660,116806,103768,2006,1893492
12/02/2024,36224,933106,1371135,240375,209021,7622,3813795
12/03/2024,40193,940934,1455281,266544,234201,8289,4240442
12/04/2024,41858,944014,1446527,254632,224379,8265,4374883
12/05/2024,39358,949925,1401376,254255,215246,7971,4354863
12/06/2024,38598,985102,1340421,242555,206009,6812,4121085
12/07/2024,24071,917052,883693,149946,139193,2926,3017208
12/08/2024,24671,849700,708798,122147,107390,2395,2348950
12/09/2024,36847,897819,1369917,243001,211638,7292,3941361
12/10/2024,40973,933091,1444209,265077,234161,8214,4374063
12/11/2024,39455,902382,1353141,253052,222538,7923,4255328
12/12/2024,41074,991418,1431599,269149,236210,8108,4527892
12/13/2024,39020,1011486,1347451,248254,222096,6931,4178812
12/14/2024,25602,948115,882335,161398,159083,3452,3123454
12/15/2024,24831,866862,694080,120386,108880,2376,2337436
12/16/2024,37015,892474,1277624,239706,206160,7096,3866550
12/17/2024,40830,944837,1457557,266960,237348,8439,4341385
12/18/2024,41792,964203,1430923,266741,229302,8068,4292792
12/19/2024,40565,994900,1431183,267033,227613,7861,4255466
12/20/2024,38582,985717,1296068,247250,213269,6493,3842344
12/21/2024,23289,898683,788267,147327,138248,2973,2645323
12/22/2024,23526,829779,607735,121379,110023,2330,2061173
12/23/2024,33496,938009,1087369,253495,210375,5776,3216875
12/24/2024,29443,890220,906044,211807,173267,4272,2546394
12/25/2024,18972,746323,417229,87185,66693,1848,1378374
12/26/2024,25211,869094,982867,240534,203127,5222,2852679
12/27/2024,30638,906118,1058666,254609,225114,5656,3161486
12/28/2024,19881,812850,726217,139519,119418,2757,2268511
12/29/2024,22149,810819,664694,127153,107415,2629,2122120
12/30/2024,31713,896512,1111524,248532,209077,6159,3316046
12/31/2024,31482,818825,985813,223942,186037,4926,2874166
